ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Morpheme_Index
Khispi-1_1sg-1-1,Khispi-1_1sg-1,ga,1,false,expert,,g a,,,1
Duhumbi-1_1sg-1-1,Duhumbi-1_1sg-1,ga,1,false,expert,,g a,,,1
Khoina-1_1sg-1-1,Khoina-1_1sg-1,guː,1,false,expert,,g uː,,,1
Jerigaon-1_1sg-1-1,Jerigaon-1_1sg-1,guː,1,false,expert,,g uː,,,1
Khoitam-1_1sg-1-1,Khoitam-1_1sg-1,guː,1,false,expert,,g uː,,,1
Rahung-1_1sg-1-1,Rahung-1_1sg-1,guː,1,false,expert,,g uː,,,1
Rupa-1_1sg-1-1,Rupa-1_1sg-1,guː,1,false,expert,,g uː,,,1
Shergaon-1_1sg-1-1,Shergaon-1_1sg-1,guː,1,false,expert,,g uː,,,1
Khispi-2_2plexcl-1-1,Khispi-2_2plexcl-1,na+lu,5,false,expert,,n a,,,1
Khispi-2_2plexcl-1-2,Khispi-2_2plexcl-1,na+lu,2,false,expert,,l u,,,2
Duhumbi-2_2plexcl-1-1,Duhumbi-2_2plexcl-1,na+ɹ,5,false,expert,,n a,,,1
Duhumbi-2_2plexcl-1-2,Duhumbi-2_2plexcl-1,na+ɹ,2,false,expert,,ɹ -,,,2
Rahung-2_2plexcl-1-1,Rahung-2_2plexcl-1,na+ryː,5,false,expert,,n a,,,1
Rahung-2_2plexcl-1-2,Rahung-2_2plexcl-1,na+ryː,2,false,expert,,r yː,,,2
Rupa-2_2plexcl-1-1,Rupa-2_2plexcl-1,naː+bluŋ,5,false,expert,,n aː,,,1
Rupa-2_2plexcl-1-2,Rupa-2_2plexcl-1,naː+bluŋ,1285,false,expert,,b l u ŋ,,,2
Shergaon-2_2plexcl-1-1,Shergaon-2_2plexcl-1,naː+bluŋ,5,false,expert,,n aː,,,1
Shergaon-2_2plexcl-1-2,Shergaon-2_2plexcl-1,naː+bluŋ,1285,false,expert,,b l u ŋ,,,2
Khispi-3_2plincl-1-1,Khispi-3_2plincl-1,nal+tʰe,5,false,expert,,n a,,,1
